,Unnamed: 0,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
0,91564,KNDJX3AE4G,King,Seattle,WA,98144.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,37.0,110739842,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400.0
1,13588,WMZYU7C52K,King,Renton,WA,98055.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,11.0,230244094,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805.0
2,86742,YV4BR0PL0J,Snohomish,Snohomish,WA,98296.0,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,1.0,183206208,POINT (-122.15133999999995 47.88511580000005),PUGET SOUND ENERGY INC,53061052113.0
3,96799,5YJSA1H1XE,Snohomish,Marysville,WA,98270.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44.0,112314940,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052708.0
4,80189,2C4RC1H70K,Snohomish,Edmonds,WA,98020.0,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,32.0,211631591,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050700.0
5,53419,5YJSA1CNXD,Jefferson,Port Townsend,WA,98368.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,24.0,349875550,POINT (-122.76441969999996 48.11958740000006),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950604.0
6,50592,5YJSA1CG4D,King,Mercer Island,WA,98040.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,164422156,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024601.0
7,31094,5YJSA1CG8D,King,Federal Way,WA,98023.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,30.0,237673649,POINT (-122.36362999999994 47.30675000000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030101.0
8,116230,JF2GTDNC0K,Pierce,Gig Harbor,WA,98332.0,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,26.0,327831738,POINT (-122.589645 47.342345),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072504.0
9,52555,WBAJB1C50K,Clark,Vancouver,WA,98683.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,17.0,477128893,POINT (-122.48538729999996 45.60833470000006),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041310.0
10,85152,WBAJB1C53J,Pierce,Anderson Island,WA,98303.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,28.0,170576759,POINT (-122.68607 47.158295),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072603.0
11,76943,5YJSA1H17E,King,Bellevue,WA,98008.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48.0,137809388,POINT (-122.11832 47.6245),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100.0
12,22385,5YJSA1CN0D,Clark,Vancouver,WA,98662.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,49.0,107849724,POINT (-122.59184929999998 45.66170580000005),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041203.0
13,30820,5YJSA1CN4D,King,Kenmore,WA,98028.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46.0,255679777,POINT (-122.25047469999998 47.761712800000055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021600.0
14,16814,KNDJP3AE3H,King,Seattle,WA,98125.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,46.0,107389551,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100.0
15,142702,KNDJX3AE4J,Snohomish,Lake Stevens,WA,98258.0,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,44.0,347885534,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052603.0
16,51549,5YJSA1CP7D,King,Sammamish,WA,98074.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45.0,219014554,POINT (-122.03132659999994 47.62857820000005),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316.0
17,48308,5YJSA1H1XE,King,Kirkland,WA,98033.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48.0,246694213,POINT (-122.20263999999997 47.67850000000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701.0
18,17074,5YJSA1BG7D,King,Seattle,WA,98125.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46.0,230457769,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900.0
19,55524,5YJSA1H14E,King,Bellevue,WA,98006.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,106389587,POINT (-122.16936999999996 47.571015000000045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024704.0
20,67683,KNDJX3AE8G,Snohomish,Lynnwood,WA,98087.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,21.0,245925074,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061041816.0
21,41136,YV4BR0DL1J,King,Seattle,WA,98109.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,36.0,183739741,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000.0
22,81216,5YJSA1H18E,King,Woodinville,WA,98072.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45.0,179784706,POINT (-122.15166499999998 47.75855000000007),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032307.0
23,128140,LYVBR0DM7K,Kitsap,Bremerton,WA,98311.0,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,23.0,211345249,POINT (-122.64688149999995 47.63443640000003),PUGET SOUND ENERGY INC,53035091500.0
24,40244,WBA8E1C36H,King,Mercer Island,WA,98040.0,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,41.0,243362094,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302.0
25,56792,5YJSA1H19E,King,Federal Way,WA,98003.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,30.0,475523450,POINT (-122.31327 47.32329),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030008.0
26,107849,5YJSA1H17E,Pierce,Fox Island,WA,98333.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,26.0,225043255,POINT (-122.6066806 47.2254086),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072410.0
27,90082,5YJSA1S19E,Snohomish,Everett,WA,98208.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44.0,143563444,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061052121.0
28,69989,WBAJB1C53K,King,Bellevue,WA,98005.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,41.0,114559777,POINT (-122.16084999999998 47.62451500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603.0
29,30162,5YJSA1H17E,King,North Bend,WA,98045.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5.0,234796117,POINT (-121.78140119999995 47.49353160000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704.0
30,98273,2C4RC1N72K,Chelan,Chelan,WA,98816.0,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,12.0,144933561,POINT (-120.015875 47.83989500000007),PUD NO 1 OF CHELAN COUNTY,53007960302.0
31,138473,5YJSA1CG8D,King,Redmond,WA,98053.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45.0,119358872,POINT (-122.02219999999994 47.69557000000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
32,96274,5YJSA1DP7C,Snohomish,Sultan,WA,98294.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,39.0,167375260,POINT (-121.81482499999998 47.86819500000007),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053801.0
33,4527,KNDJX3AE6H,King,Renton,WA,98055.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,11.0,120969054,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029308.0
34,12492,5YJSA1AC3D,King,Newcastle,WA,98059.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,150885493,POINT (-122.15733999999998 47.487175000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025005.0
35,45442,WBAJB1C53J,Clark,Ridgefield,WA,98642.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,18.0,137165591,POINT (-122.74348499999996 45.81886000000003),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040301.0
36,37944,5YJSA1H1XE,King,Maple Valley,WA,98038.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5.0,102201935,POINT (-122.05190999999996 47.35798500000004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603.0
37,29627,KNDJX3AE0G,King,Redmond,WA,98052.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,48.0,162322051,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324.0
38,38309,WBA8E1C59H,King,Seattle,WA,98103.0,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,43.0,156380227,POINT (-122.34300999999999 47.659185000000036),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.0
39,102534,KNDJP3AEXG,King,Kent,WA,98031.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,47.0,183612649,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029504.0
40,48706,KNDJX3AE2G,King,Seattle,WA,98125.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,46.0,247619606,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102.0
41,142722,5YJSA1H16E,Thurston,Lacey,WA,98503.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,22.0,102194410,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011410.0
42,115880,5YJSA1S17E,Snohomish,Lynnwood,WA,98037.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21.0,156901209,POINT (-122.29726499999998 47.84182000000004),PUGET SOUND ENERGY INC,53061051601.0
43,31290,5YJSA1H1XE,King,Bellevue,WA,98005.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,112749108,POINT (-122.16084999999998 47.62451500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601.0
44,11381,5YJSA1H12E,King,Seattle,WA,98108.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,11.0,232164236,POINT (-122.32689629999999 47.54995190000005),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402.0
45,49663,5YJSA1DG1D,King,Bellevue,WA,98004.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,182153303,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801.0
46,53395,5YJSA1DG1D,Kitsap,Poulsbo,WA,98370.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,23.0,183192460,POINT (-122.64176999999995 47.73752500000006),PUGET SOUND ENERGY INC,53035090201.0
47,79599,5YJSA1CN9D,Snohomish,Stanwood,WA,98292.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,10.0,156839532,POINT (-122.36840509999996 48.24149210000007),PUGET SOUND ENERGY INC,53061053202.0
48,55477,YV4BR0DL5J,King,Seattle,WA,98144.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,37.0,149279644,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900.0
